Kod,Unvan,City,BagimsizDenetim,Url,centerAddress,electronicEmailAddress,internet,companyTime,bagimsizDenetimKurulusu,dahilOlduguEndeksler,Sektor,islemGorduguPazarlar
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5899-agrotech-yuksek-teknoloji-ve-yatirim-a-s,Esentepe Mah. Büyükdere Cad. Tekfen Tower N209/18 Şişli / İSTANBUL,info@agrotechgrup.com.tr,www.agrotech.com.tr,Süresizdir.,EREN BAĞIMSIZ DENETİM A.Ş.,BIST 100-30 / BIST 100 / BIST SINAİ / BIST 500 / BIST YILDIZ / BIST TÜM / BIST HALKA ARZ,"TARIM, ORMANCILIK VE BALIKÇILIK / TARIM VE HAYVANCILIK AVCILIK VE İLGİLİ HİZMET FAALİYETLERİ",YILDIZ PAZAR
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/6014-ahes-gayrimenkul-yatirim-ortakligi-a-s,Kısıklı Mah. Alemdağ Cad. AHES İş Merkezi D Blok No:53 Kat:2 Üsküdar / İstanbul,info@ahesgyo.com,https://ahesgyo.com/,Şirket?in hukuki varlığı herhangi bir süre ile kısıtlanmamıştır.,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST GAYRİMENKUL YAT. ORT. / BIST MALİ / BIST HALKA ARZ / BIST KATILIM TUM / BIST TÜM / BIST YILDIZ / BIST TÜM-100,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,YILDIZ PAZAR
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,İSTANBUL,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/3064-ahlatci-dogal-gaz-dagitim-enerji-ve-yatirim-a-s,YEŞİLVADİ SOKAK NO:3 KAT:11 İÇERENKÖY - ATAŞEHİR/İSTANBUL,info@ahlatcidogalgaz.com.tr,www.ahlatcidogalgaz.com.tr,SÜRESİZ,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST İSTANBUL / BIST TÜM-100 / BIST TÜM / BIST 500 / BIST HALKA ARZ / BIST HİZMETLER / BIST ELEKTRİK / BIST YILDIZ,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,YILDIZ PAZAR
AKSFA,AK FAKTORİNG A.Ş.,İSTANBUL,ARTI DEĞER ULUSLARARASI BAĞIMSIZ DENETİM VE YMM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2085-ak-faktoring-a-s,Büyükdere Caddesi Özsezen İş merkezi C blok no:126 kat 9 Şişli İstanbul,maliisler@akfactoring.com.tr,www.akfactoring.com.tr,süresizdir,ARTI DEĞER ULUSLARARASI BAĞIMSIZ DENETİM VE YMM A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
AKFK,AK FİNANSAL KİRALAMA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2215-ak-finansal-kiralama-a-s,SABANCI CENTER KULE:2 KAT:8-9 4.LEVENT 34330 İSTANBUL,finansman@aklease.com --- muhasebe@aklease.com,www.aklease.com,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
"AKM, AKMEN",AK YATIRIM MENKUL DEĞERLER A.Ş.,,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2485-ak-yatirim-menkul-degerler-a-s,SABANCI CENTER 4.LEVENT 34330 BEŞİKTAŞ İSTANBUL,,www.akyatirim.com.tr,SÜRESİZ,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,YAPILANDIRILMIŞ ÜRÜNLER VE FON PAZARI / KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
AKBNK,AKBANK T.A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2413-akbank-t-a-s,"Adres: Sabancı Center 34330 4.Levent / İSTANBUL,
Telefon: (0212) 385 55 55,
Faks: (0212) 319 52 52",http://www.akbank.com/tr-tr/genel/Sayfalar/Iletisim-Formu.aspx,www.akbank.com,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST YILDIZ / BIST TEMETTÜ 25 / BIST TEMETTÜ / BIST 30 / BIST TÜM / BIST 50 / BIST 100 / BIST LİKİT BANKA / BIST SÜRDÜRÜLEBİLİRLİK 25 / BIST MALİ / BIST BANKA / BIST SÜRDÜRÜLEBİLİRLİK / BIST 500,MALİ KURULUŞLAR / BANKALAR,YILDIZ PAZAR / KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/838-akcansa-cimento-sanayi-ve-ticaret-a-s,Barbaros Mahallesi Kardelen Sokak No:2 D.124-125 Palladium Tower Ataşehir /istanbul,investor.relations@akcansa.com.tr --- info@akcansa.com.tr,www.akcansa.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,"BIST YILDIZ / BIST İSTANBUL / BIST KATILIM TEMETTU / BIST 500 / BIST TEMETTÜ / BIST KATILIM 100 / BIST SINAİ / BIST TÜM-100 / BIST SÜRDÜRÜLEBİLİRLİK / BIST TÜM / BIST TAŞ, TOPRAK / BIST KATILIM TUM / BIST SÜRDÜRÜLEBİLİRLİK KATILIM",İMALAT / TAŞ VE TOPRAĞA DAYALI,YILDIZ PAZAR
AKDFA,AKDENİZ FAKTORİNG A.Ş.,İSTANBUL,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2377-akdeniz-faktoring-a-s,BULGURLU MAH.GÜRPINAR CAD.NO:15/7 ÜSKÜDAR/İSTANBUL,nurten.bayrak@akdenizfaktoring.com.tr --- ozgur.bulbul@akdenizfaktoring.com.tr,http://www.akdenizfaktoring.com.tr,Süresiz,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,İSTANBUL,IŞIK YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1623-akdeniz-yatirim-holding-a-s,Mahmutbey Mahallesi Taşocağı Yolu Caddesi BALANCE GÜNEŞLİ No:19-6 Daire: 16 Bağcılar / İstanbul,www.akdenizyh.com,www.akdenizyh.com,süresiz,IŞIK YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,BIST HOLDİNG VE YATIRIM / BIST ANA / BIST TÜM-100 / BIST 500 / BIST MALİ / BIST İSTANBUL / BIST TÜM,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,ANA PAZAR
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/834-akenerji-elektrik-uretim-a-s,"Miralay Şefik Bey Sokak, Ak Han, No: 15, K: 3/4 Gümüşsuyu, Beyoğlu/İSTANBUL",info@akenerji.com.tr,www.akenerji.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST İSTANBUL / BIST HİZMETLER / BIST 500 / BIST TÜM / BIST ANA / BIST TÜM-100 / BIST KURUMSAL YÖNETİM / BIST ELEKTRİK / BIST SÜRDÜRÜLEBİLİRLİK,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,ANA PAZAR
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1545-akfen-gayrimenkul-yatirim-ortakligi-a-s,LEVENT LOFT BÜYÜKDERE CADDESİ NO:201 C BLOK KAT:8 DAİRE:151 34394 LEVENT İSTANBUL,info@akfengyo.com.tr,www.akfengyo.com.tr,Süresiz,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST MALİ / BIST GAYRİMENKUL YAT. ORT. / BIST YILDIZ / BIST SÜRDÜRÜLEBİLİRLİK / BIST TÜM / BIST 100 / BIST 100-30 / BIST 500,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,YILDIZ PAZAR
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,ANKARA,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5792-akfen-yenilenebilir-enerji-a-s,"İlkbahar Mahallesi Galip Erdem Caddesi, NO:3 Çankaya/ANKARA",yatirimciiliskileri@akfenren.com.tr,www.akfenren.com.tr,Süresiz,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST HİZMETLER / BIST ANKARA / BIST YILDIZ / BIST KATILIM 50 / BIST 500 / BIST KATILIM 100 / BIST KATILIM TUM / BIST HALKA ARZ / BIST ELEKTRİK / BIST 100 / BIST 100-30 / BIST TÜM,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,YILDIZ PAZAR
ATEKS,AKIN TEKSTİL A.Ş.,İSTANBUL,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/839-akin-tekstil-a-s,"OSMANİYE MAH. ÇIRPICI KOŞU YOLU SK. NO:5/1,2,3,4 34144 BAKIRKÖY / İSTANBUL",yatirimciiliskileri@akintekstil.com.tr,www.akintekstil.com.tr,SÜRESİZ,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,"BIST ANA / BIST SINAİ / BIST TÜM-100 / BIST TÜM / BIST TEKSTİL, DERİ / BIST KATILIM TUM / BIST 500","İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ",ANA PAZAR
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1698-akis-gayrimenkul-yatirim-ortakligi-a-s,"Acıbadem Mahallesi Çeçen Sokak No : 25, 34660 Akasya AVM, Acıbadem / Üsküdar - İSTANBUL",info@akisgyo.com --- akisgyo@hs02.kep.tr,www.akisgyo.com,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST TÜM / BIST KURUMSAL YÖNETİM / BIST TÜM-100 / BIST YILDIZ / BIST GAYRİMENKUL YAT. ORT. / BIST 500 / BIST SÜRDÜRÜLEBİLİRLİK / BIST MALİ,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,YILDIZ PAZAR
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1399-akmerkez-gayrimenkul-yatirim-ortakligi-a-s,Kültür Mah. Nisbetiye Cad. Akmerkez No: 56/1 Beşiktaş/İstanbul,gyo@akmerkez.com.tr,http://www.akmgyo.com/,SÜRESİZ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST TÜM-100 / BIST KURUMSAL YÖNETİM / BIST GAYRİMENKUL YAT. ORT. / BIST MALİ / BIST TÜM / BIST TEMETTÜ,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,ALT PAZAR
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,YALOVA,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/840-aksa-akrilik-kimya-sanayii-a-s,Merkez Mahallesi Ali Raif Dinçkök Caddesi No : 2 Çiftlikköy Yalova,aksa@aksa.com --- 	ir@aksa.com --- aksaakrilik@hs02.kep.tr,www.aksa.com,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,"BIST 100-30 / BIST TEMETTÜ / BIST 500 / BIST TEMETTÜ 25 / BIST YILDIZ / BIST 100 / BIST KURUMSAL YÖNETİM / BIST KİMYA, PETROL, PLASTİK / BIST KATILIM 50 / BIST KATILIM TUM / BIST SÜRDÜRÜLEBİLİRLİK KATILIM / BIST SINAİ / BIST SÜRDÜRÜLEBİLİRLİK / BIST KATILIM 100 / BIST KATILIM TEMETTU / BIST TÜM",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,YILDIZ PAZAR
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1505-aksa-enerji-uretim-a-s,"Rüzgarlıbahçe Mahallesi, Özalp Çıkmazı, No: 10, Kavacık, Beykoz, Istanbul",info@aksaenerji.com.tr,www.aksaenerji.com.tr,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST TEMETTÜ / BIST KATILIM 50 / BIST 100-30 / BIST KURUMSAL YÖNETİM / BIST İSTANBUL / BIST KATILIM 100 / BIST KATILIM TEMETTU / BIST KATILIM TUM / BIST HİZMETLER / BIST SÜRDÜRÜLEBİLİRLİK / BIST YILDIZ / BIST TÜM / BIST 500 / BIST 100 / BIST SÜRDÜRÜLEBİLİRLİK KATILIM / BIST ELEKTRİK / BIST TEMETTÜ 25,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,YILDIZ PAZAR
AKGRT,AKSİGORTA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/841-aksigorta-a-s,"Fatih Sultan Mehmet Mah. Poligon Cad. Buyaka 2 Sitesi, 1Blok No:8A, İç Kapı No:2 34771 Ümraniye - İSTANBUL",aksigorta@hs02.kep.tr,www.aksigorta.com.tr,Şirketin müddeti sınırsızdır.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST TÜM-100 / BIST 500 / BIST SÜRDÜRÜLEBİLİRLİK / BIST TÜM / BIST YILDIZ / BIST MALİ / BIST SİGORTA,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ,YILDIZ PAZAR
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,ISPARTA,GÜÇBİR BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/842-aksu-enerji-ve-ticaret-a-s,Pirimehmet Mah. Mimar Sinan cad. Miralay İşhanı Kat:2 No:77 Isparta,aksue@aksuenerji.com.tr,www.aksuenerji.com.tr,,GÜÇBİR BAĞIMSIZ DENETİM A.Ş.,BIST HİZMETLER / BIST ANA / BIST ELEKTRİK / BIST TÜM-100 / BIST 500 / BIST TÜM,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,ANA PAZAR
AKTVK,AKTİF BANK SUKUK VARLIK KİRALAMA A.Ş.,İSTANBUL,SGD BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2203-aktif-bank-sukuk-varlik-kiralama-a-s,Esentepe Mahallesi Kore Şehitleri Cad. Aktif Bank Genel Müdürlük Apt. No:8/1 Şişli/İstanbul,info@aktifvks.com.tr,www.aktifvks.com.tr,Süresiz,SGD BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
"AFB, AKTIF",AKTİF YATIRIM BANKASI A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2212-aktif-yatirim-bankasi-a-s,Esentepe Mahallesi Kore Şehitleri Cad. Aktif Bank Genel Müdürlük. No:8/1 Şişli / İstanbul,iletisim@aktifbank.com.tr,www.aktifbank.com.tr,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,KESİN ALIM SATIM PAZARI / KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
